<<<<<<< HEAD
cause_of_death,CartoDB_Cause_of_death,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",route
burned,"violent accidental death (transport, blown in minefield...)",2Q2015,2015 -- 4,2015.0,1.0,0.0,1.0,"Just under 70 migrants, many suffering from severe burns, were picked up by Italian coastguards in the Mediterranean sea between northern Libya and Italy on Friday, after spending two days stranded on a half-inflated dinghy. One 25-year old woman died during the journey.",Between northern Libya and Italy,33.349987,13.58879,"33.349987, 13.58879",Central Mediterranean route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 4,2015.0,0.0,41.0,41.0,,Between LY and Trapani,36.2,12.5,"36.2, 12.5",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 4,2015.0,0.0,12.0,12.0,,Between LY and Sicily,34.7,15.5,"34.7, 15.5",Central European Route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 4,2015.0,9.0,400.0,400.0,"About 400 migrants are feared died in an attempt to reach Italy from Libya when their boat capsized, survivors said.",Off Libya (24 hours after departure),35,15.1,"35, 15.1",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 4,2015.0,9.0,0.0,9.0,,Off Libya,33.4,15.3,"33.4, 15.3",Central Mediterranean Route
unknown,unknown - supposedly exhaustion related death,2Q2015,2015 -- 4,2015.0,1.0,0.0,1.0,"Migrants were picked up by three merchant vessels and an Italian navy ship. In all 978 people were rescued, one person had died before help arrived.",,34.9,15,"34.9, 15",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 4,2015.0,1.0,0.0,1.0,A ship carrying 200 migrants capsized near Egypt's Mediterranean coast.,"off Borg Borolos, Kafr al-Sheikh",32,30.6,"32, 30.6",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 4,2015.0,7.0,4.0,11.0,"Seven persons were found dead while another nine were rescued by members of the Turkish coast guard, after they were spotted east of the Greek island Symi, near Rhodes.",East of Symi,36.6,27.9,"36.6, 27.9",Eastern Mediterranean Route
drowned,drowning or exhaustion related death,1Q2015,2015 -- 3,2015.0,5.0,0.0,5.0,At least five people were killed when a boat carrying migrants sank near the southwestern province of MuÆ’Ã¼la early on March 17.,Off Kos,36.9,27.4,"36.9, 27.4",Eastern Mediterranean route
drowned,drowning or exhaustion related death,1Q2015,2015 -- 3,2015.0,4.0,8.0,12.0,Four dead and 8 missing on a 30-person boat.,Off Lanzarote,29.01,-12.79,"29.01, -12.79",Western African route
drowned,drowning or exhaustion related death,1Q2015,2015 -- 3,2015.0,10.0,40.0,50.0," A boat transporting migrants has capsized off Sicily, killing at least ten people.",off Sicily,36.1,15.2,"36.1, 15.2",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2015,2015 -- 2,2015.0,2.0,0.0,2.0,Two men jump ship as they are being deported from the UK to Belgium.,500m off Harwich,51.924,1.44,"51.924, 1.44",Unknown
suicide,suicide,1Q2015,2015 -- 2,2015.0,1.0,0.0,1.0,untreated diabetes,Thessaloniki police station,40.634676,22.943048,"40.634676, 22.943048",Unknown
drowned,drowning or exhaustion related death,1Q2015,2015 -- 2,2015.0,0.0,300.0,300.0,300 migrants and refugees are thought to be dead by UN agencies based on survivors' testimonies.,Off Libya,33.7,13.6,"33.7, 13.6",Central Mediterranean Route
lack of medical care,drowning or exhaustion related death,1Q2015,2015 -- 2,2015.0,1.0,0.0,1.0,HIV after being denied treatment,,38.1260386,23.7367192,"38.1260386, 23.7367192",Unknown
hypothermia,drowning or exhaustion related death,1Q2015,2015 -- 2,2015.0,29.0,0.0,29.0,More than 20 died of hypothermia. Another 15 in critical condition.,Off Lampedusa,35.4,12.6,"35.4, 12.6",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2015,2015 -- 1,2015.0,8.0,0.0,8.0,A boat carrying illegal migrants sank off the Mediterranean shore near the Spanish enclave of Melillla.,"Boukana beach, near Nador",35.235482,-2.873268,"35.235482, -2.873268",Western Mediterranean Route
drowned or thirst,drowning or exhaustion related death,1Q2015,2015 -- 1,2015.0,1.0,20.0,21.0,"A Maltese patrol boat rescued about 80 migrants, who claimed 20 had died since leaving from Tripoli. A man died in a Maltese hospital after disembarking.",Off Malta,35.4,14,"35.4, 14",Central Mediterranean Route
car accident,"violent accidental death (transport, blown in minefield...)",1Q2015,2015 -- 1,2015.0,12.0,0.0,12.0,"A people smuggler was carrying 12 Nigerien illegal immigrants from Tarhuna to Tripoli when a military patrol pursued his vehicle. During the pursuit, two military vehicles hit the smuggler's car, causing a tragic accident, in which the smugglers, the 12 immigrants and four troops were killed.",Between Tarhuna and Tripoli,32.5,13.3,"32.5, 13.3",Unknown
drowned,drowning or exhaustion related death,1Q2015,2015 -- 1,2015.0,6.0,0.0,6.0,A patera capsized. Refugees and migrants from another boat were able to rescue six people.,80km off the Algerian coast,36.4,-0.9,"36.4, -0.9",Western Mediterranean route
lack of medical care,drowning or exhaustion related death,3Q2014,2014 -- 9,2014.0,0.0,1.0,1.0,"26-year-old Palestinian, Wael Adeeb Shahwan left the Gaza Strip for Alexandria, smuggled through the tunnels and on the high seas. One night around 20 September, Wael was smuggled onto a boat near Alexandria. The smugglers had stolen everyone's bags and mobile phones, meaning Wael - a diabetic - did not have his insulin.",Off the Egyptian coast,33,30,"33, 30",Central Mediterranean route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 9,2014.0,70.0,0.0,70.0,Two boats carrying migrants to Europe capsize near Tripoli,Off Tripoli,32.92,13.335,"32.92, 13.335",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 9,2014.0,10.0,35.0,45.0,The overcrowded boat was attempting the crossing from North Africa to Italy.,50km off the Libyan coast,33.3,13.6,"33.3, 13.6",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 9,2014.0,3.0,3.0,6.0,102 migrants were rescued off Al-Qarbuli.,Off Al-Qarbuli,33,13.4,"33, 13.4",Central Mediterranean route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 9,2014.0,0.0,225.0,225.0,A boat capsized a few miles off the Libyan coast. 26 were rescued by the Libyan Navy.,near Tajoura,33.4,13.3,"33.4, 13.3",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 9,2014.0,15.0,0.0,15.0,Fifteen migrants from Gaza died on Saturday after a boat they were riding in capsized. The boat had been wrecked after hitting a rock off the coast soon after departing from shore.,off the coast of al-Ajami,32.3,29.7,"32.3, 29.7",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 9,2014.0,7.0,0.0,500.0,"A merchant ship rescued two migrants, who said a total of 30 had been on board. Later interviews put the figure at 500. They also added that the smugglers purposefully sunk the boat.",300mi SE of Malta,34.1,15.7,"34.1, 15.7",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 9,2014.0,2.0,0.0,2.0,two migrants drowned and six more were rescued when their boat sank in the Mediterranean Sea near Malta,Off Malta,35,16,"35, 16",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 9,2014.0,160.0,0.0,160.0,"more than 160 African migrants were feared dead after an overloaded boat heading for Italy capsized off the coast of Libya, Libyan officials recovered dozens of bodies, 36 are rescued",Off Libya,33.1,13.3,"33.1, 13.3",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 8,2014.0,15.0,0.0,15.0,Libyan coastguards found 15 bodies of sub-Saharan African migrants floating in the sea near a ripped inflatable boat,Off Tripoli,33,14,"33, 14",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 8,2014.0,0.0,100.0,100.0,"The coast guard found the damaged rubber boat off the shores of al-Qarbouli, 50 kilometers (30 miles) east of Tripoli. The coast guard has estimated the boat carried at least 100 people.",Off Al Garbouli,33,14,"33, 14",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 8,2014.0,36.0,0.0,36.0,The Tunisian coast guard recovered the bodies of 36 migrants who drowned when their boat sank in the Mediterranean near the maritime border with Libya,Off Tunisia,34.1,12.3,"34.1, 12.3",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 8,2014.0,41.0,0.0,41.0,"A boat capsized off Zuwara. No other information is available, except that bodies have been washed ashore in nearby Tunisia and that many more have been sighted at sea.","Off Zuwara, Libya",33,12.1,"33, 12.1",Central Mediterranean Route
unknown,unknown - supposedly exhaustion related death,3Q2014,2014 -- 8,2014.0,1.0,0.0,1.0,,"Vluchtgarage center, Amsterdam",52.314079,4.975107,"52.314079, 4.975107",Unknown
drowned,drowning or exhaustion related death,3Q2014,2014 -- 8,2014.0,24.0,0.0,24.0,"A fishing boat carrying roughly 400 people capsized north of the Libyan coast in bad weather conditions. The Italian navy and coastguard, in a joint operation with a nearby merchant ship, rescued 364 people. 24 bodies have been recovered and more are feared dead.",north of the Libyan coast,33,13.1,"33, 13.1",Central Mediterranean Route
unknown,unknown - supposedly exhaustion related death,3Q2014,2014 -- 8,2014.0,18.0,0.0,18.0,"Eighteen people are found dead on an inflatable dinghy floating south of Lampedusa by the Italian navy, 73 are rescued",Off Lampedusa,35.4,12.6,"35.4, 12.6",Central Mediterranean Route
unknown,unknown - supposedly exhaustion related death,3Q2014,2014 -- 8,2014.0,18.0,0.0,18.0,The Italian Navy boat Sirio rescued a boat with 73 migrants and 18 corpses. They were disembarked at Pozzalo.,20 miles off the Libyan coast,33.7,14.05,"33.7, 14.05",Central Mediterranean Route
unknown,unknown - supposedly exhaustion related death,3Q2014,2014 -- 8,2014.0,0.0,250.0,270.0,More than 250 migrants may have died when a boat sank a kilometre off the Libyan coast.,"1 km off the Garbuli, Libya",32.9,13.5,"32.9, 13.5",Central Mediterranean Route
burned,"violent accidental death (transport, blown in minefield...)",3Q2014,2014 -- 8,2014.0,1.0,0.0,1.0,Greece's coastguard recovered the body of a migrant who died when a vessel containing at least another 80 people caught fire and sank in the Aegean,"Off Tilos, Greece",36,27,"36, 27",Eastern Mediterranean Route
asphyxiated,authorities related death,3Q2014,2014 -- 8,2014.0,1.0,0.0,1.0,An Algerian national died during his deportation. Policemen were present when he died but did not call for help.,On the way to Charles de Gaulle airport,48.9,2.4,"48.9, 2.4",Unknown
unknown,unknown - supposedly exhaustion related death,3Q2014,2014 -- 8,2014.0,1.0,0.0,1.0,One man found dead in container with 35 migrants.,Tilbury Docks,51.46046,0.344943,"51.46046, 0.344943",Unknown
unknown,unknown - supposedly exhaustion related death,3Q2014,2014 -- 8,2014.0,2.0,0.0,2.0,"The Italian navy talked of 2 bodies recovered on its Twitter feed, without giving any further details.",Mediterranean - unknown details,33,30,"33, 30",Central Mediterranean route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,150.0,0.0,150.0,"At least 150 migrants died when their boat sank off Libya's coast, two dozen people survived",Off Libya,32.857,14.306,"32.857, 14.306",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,20.0,108.0,128.0,A makeshift boat sank off the Libyan coast. 22 were rescued by the Libyan navy.,100 km east of Tripoli,33.04,12.23,"33.04, 12.23",Central Mediterranean route
run over by a bus,"violent accidental death (transport, blown in minefield...)",3Q2014,2014 -- 7,2014.0,1.0,0.0,1.0,"Ahmed Abdallah, 16, crossed the channel hidden under a bus. When he tried to leave, he was crushed by the bus.",,51,1,"51, 1",Unknown
murdered,malicious intent related death / manslaughter,3Q2014,2014 -- 7,2014.0,29.0,100.0,129.0,"Survivors told investigators that a fight broke out as persons who were riding in the hold, suffocating from heat and a lack of oxygen, tried to climb on the upper deck. It is understood that the latch to the lower deck was forced shut and a ladder was removed. Conditions soon became unbearable with the intense heat emitted by the engine and the lack of oxygen and those below forced the door open and tried to climb onto the upper deck.",,36.4,13.1,"36.4, 13.1",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,52.0,0.0,52.0,migrants are feared to have drowned during transfer to a Danish freighter from the rickety fishing boat,Off Libya/Malta,34,14,"34, 14",Central Mediterranean Route
asphyxiated,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,19.0,0.0,19.0,Killed by toxic fumes from the boat's engine.,148km from Lampedusa,35.9,12.37,"35.9, 12.37",Central European Route
crushed,"violent accidental death (transport, blown in minefield...)",3Q2014,2014 -- 7,2014.0,10.0,0.0,10.0,"300 to 400 immigrants were in a boat that was taking in water. An Italian merchant ship that was in the area was requested to assist but 10 people or more, including a baby, died possibly in a stampede during the rescue. They were found dead in the vesselâ€šÃ„Ã´s hold.",Off Malta,35.3,14.3,"35.3, 14.3",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,3.0,0.0,3.0,Libya's navy said it retrieved the bodies of three would-be migrants and rescued almost 100 others after their boat sank.,,33.17,13.88,"33.17, 13.88",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,0.0,41.0,41.0,"A boat was intercepted as it sank by a merchant vessel, the Panamanian-flagged City of Sidon. 41 are feared dead",36 nautical miles north of Tripoli,33.47,13.15,"33.47, 13.15",Central Mediterranean Route
asphyxiated,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,3.0,0.0,3.0,Libya's navy retrieved the bodies of three would-be migrants and rescued almost 100 others after their boat sank,Off Libya,33,13,"33, 13",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,2.0,0.0,2.0,"2 immigrants found dead in the sea area, ten miles west from Karlovasi, in Samos island. 13 were rescued by coast guard and an unknown number is reported missing.",Samos,37.754786,26.97777,"37.754786, 26.97777",Unknown
drowned,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,12.0,200.0,212.0,"Shipwreck off the coast of Libya, reported by UNHCR. The victims were three Syrians (a mother and her children), three Eritreans and six Africans whose nationality had yet to be determined",Off the Libyan coast,33.9,13.44,"33.9, 13.44",Central Mediterranean Route
asphyxiated,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,45.0,0.0,45.0,"The victims were in a fishing boat on which 600 people were made to board, more than double the boat's capacity",Off Sicily,36.72986,14.84911,"36.72986, 14.84911",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2014,2014 -- 7,2014.0,0.0,75.0,75.0,The 27 survivors of a shipwreck said there were an additional 75 persons on board.,Off the Italian coast,35,15.7,"35, 15.7",Central Mediterranean Route
unknown,unknown - supposedly exhaustion related death,3Q2014,2014 -- 6,2014.0,2.0,9.0,11.0,A boat with 11 Senegalese on board sunk near Tanger,Tanger,35.766667,-5.8,"35.766667, -5.8",Western Mediterranean route
